QueryId,DocumentId
303,NYT19990310.0333
303,NYT19991215.0229
303,NYT19991222.0420
303,NYT19990310.0503
303,APW19990516.0013
303,APW19990516.0127
303,APW19990224.0040
303,APW19990224.0042
303,APW19990310.0063
303,NYT19991219.0272
303,NYT19991221.0351
303,NYT19991115.0396
303,APW19990311.0166
303,APW19990310.0167
303,NYT19991222.0449
303,NYT19991206.0115
303,NYT19991223.0360
303,NYT19991215.0237
303,NYT19990107.0373
303,APW19990826.0244
303,NYT19991223.0308
303,NYT20000602.0093
303,NYT19991223.0384
303,APW19990108.0103
303,APW19990108.0283
303,NYT19991115.0309
303,NYT19981008.0371
303,XIE19970211.0046
303,NYT19991220.0383
303,NYT19990718.0148
303,XIE19970221.0084
303,NYT19990719.0430
303,APW19990120.0256
303,APW19990718.0024
303,XIE19970513.0108
303,NYT19990108.0368
303,APW19991006.0285
303,NYT19981008.0331
303,NYT19991105.0298
303,NYT19991214.0327
303,NYT19990826.0251
303,XIE19961108.0181
303,XIE19991228.0201
303,APW19990525.0223
303,XIE19990109.0245
303,NYT19981019.0198
303,NYT20000602.0091
303,NYT20000602.0092
303,NYT19981228.0315
303,APW19990428.0195
303,NYT20000518.0275
303,NYT19990211.0114
303,NYT19990525.0358
303,NYT19990526.0001
303,APW19990724.0076
303,NYT19991213.0349
303,XIE19980610.0069
303,XIE20000522.0056
303,NYT20000210.0063
303,NYT19990607.0234
303,NYT19991221.0114
303,APW19991006.0154
303,APW19990519.0068
303,APW19990519.0070
303,APW19990519.0141
303,NYT19991228.0262
303,NYT19991216.0309
303,APW19990417.0073
303,APW19990417.0118
303,APW19991013.0171
303,APW19990416.0258
303,APW19990416.0302
303,NYT19991227.0400
303,NYT19981123.0242
303,APW19980715.1061
303,NYT19990329.0296
303,NYT19990601.0311
303,APW19990602.0158
303,NYT19980615.0134
303,XIE19981010.0047
303,APW19981008.1253
303,APW19990601.0297
303,APW19990414.0120
303,APW19990414.0141
303,APW19990414.0198
303,NYT19990520.0073
303,XIE19990416.0045
303,NYT20000529.0117
303,NYT19990526.0034
303,NYT19980611.0392
303,XIE19970211.0115
303,APW19990209.0343
303,APW19990209.0357
303,APW19990209.0359
303,APW19990210.0167
303,APW19990210.0168
303,APW19990210.0356
303,APW19990210.0359
303,NYT19990909.0337
303,NYT19990607.0082
307,XIE19990501.0067
307,XIE19961203.0196
307,NYT20000801.0357
307,XIE19981121.0137
307,XIE19970306.0116
307,XIE20000824.0267
307,XIE19960929.0108
307,XIE20000202.0158
307,XIE19981007.0271
307,XIE19980915.0116
307,XIE19970120.0005
307,APW19980602.0026
307,XIE19960815.0223
307,NYT19980923.0435
307,XIE19980918.0161
307,XIE20000303.0117
307,APW19981111.0561
307,XIE19990512.0176
307,XIE19960305.0207
307,NYT19990712.0395
307,XIE19981006.0142
307,NYT20000211.0274
307,NYT20000211.0327
307,XIE19970621.0161
307,XIE20000703.0032
307,NYT19990312.0334
307,XIE19981111.0261
307,XIE19991017.0017
307,XIE19960308.0121
307,XIE20000904.0217
