QueryId,DocumentId,content_length,title_length,anchors_length
201,clueweb12-1700tw-22-12689,978,6,0
201,clueweb12-0915wb-34-01721,743,9,12
201,clueweb12-0713wb-35-13648,1657,3,534
201,clueweb12-0900wb-98-24673,488,5,0
201,clueweb12-0909wb-96-26247,894,6,11
201,clueweb12-0401tw-04-20151,1365,15,0
201,clueweb12-1102wb-91-12621,1130,3,198
201,clueweb12-0400tw-34-18992,964,7,60
201,clueweb12-0901tw-08-02360,754,14,0
201,clueweb12-1500tw-87-15657,978,14,0
201,clueweb12-0401tw-16-02547,868,12,0
201,clueweb12-0900wb-35-34759,24520,5,235
201,clueweb12-1200tw-80-10421,1791,12,0
201,clueweb12-0915wb-07-09887,1122,6,25
201,clueweb12-1804wb-47-11412,3915,3,1148
201,clueweb12-0713wb-53-13641,3707,7,0
201,clueweb12-1602wb-44-05440,855,8,8
201,clueweb12-0401tw-00-11091,1542,7,442
201,clueweb12-0800tw-17-25760,624,10,0
201,clueweb12-0800tw-24-12533,810,7,0
201,clueweb12-0800tw-05-18710,1317,6,10
201,clueweb12-1007wb-48-27054,302,7,0
201,clueweb12-1205wb-61-24105,334,8,51
201,clueweb12-1200tw-74-09560,785,9,67
201,clueweb12-0900tw-69-06553,810,5,0
201,clueweb12-0906wb-96-33932,1377,8,10
201,clueweb12-0401tw-11-13679,750,9,59
201,clueweb12-1310wb-04-16486,743,4,60
201,clueweb12-0400tw-98-19394,1823,9,0
201,clueweb12-1712wb-94-32026,1161,9,30
201,clueweb12-0810wb-64-06846,655,11,107
201,clueweb12-1103wb-53-15541,903,7,0
201,clueweb12-1103wb-89-23937,902,7,0
201,clueweb12-0800tw-37-07485,790,7,36
201,clueweb12-0904wb-71-24469,1322,4,32
201,clueweb12-1700tw-03-09403,1967,8,0
201,clueweb12-0400tw-96-22358,1024,8,0
201,clueweb12-0401tw-03-21671,650,8,104
201,clueweb12-1200tw-74-13246,514,9,0
201,clueweb12-0500tw-22-06416,542,9,0
201,clueweb12-0604wb-40-13236,3090,6,72
201,clueweb12-0700tw-54-14874,2801,9,2
201,clueweb12-0816wb-83-13972,476,8,28
201,clueweb12-0700tw-24-01437,889,12,0
201,clueweb12-1806wb-39-29403,970,7,4
201,clueweb12-0916wb-00-04079,382,8,7
201,clueweb12-0600tw-42-14363,1030,11,0
201,clueweb12-1211wb-15-11029,356,14,33
201,clueweb12-0717wb-19-00907,558,10,98
201,clueweb12-0908wb-21-22923,1006,11,287
201,clueweb12-1103wb-34-18912,793,2,268
201,clueweb12-0713wb-62-15328,6424,5,4
201,clueweb12-0807wb-93-08686,513,7,175
201,clueweb12-1500tw-29-15704,2311,8,91
201,clueweb12-1712wb-90-15515,341,10,379
201,clueweb12-1700tw-09-00623,715,11,0
201,clueweb12-1305wb-59-01481,639,9,29
201,clueweb12-1410wb-38-06953,534,6,0
201,clueweb12-0006wb-96-02778,317,5,0
201,clueweb12-1600tw-02-18513,724,7,150
201,clueweb12-0301tw-34-08947,1168,10,79
201,clueweb12-0207wb-00-11831,728,9,1498
201,clueweb12-0209wb-62-29860,735,6,2130
201,clueweb12-1110wb-37-14389,386,20,9
201,clueweb12-0300tw-61-16714,1545,7,0
201,clueweb12-0700tw-16-15536,455,10,144
201,clueweb12-0500tw-11-08405,1113,10,103
201,clueweb12-1812wb-83-07588,718,5,0
201,clueweb12-1200tw-71-00213,441,10,78
201,clueweb12-1100tw-71-09590,1050,8,0
201,clueweb12-1608wb-61-17370,758,5,0
201,clueweb12-1500tw-89-03150,894,7,104
201,clueweb12-1203wb-45-10051,605,6,28
201,clueweb12-0611wb-37-01840,2110,6,42
201,clueweb12-1604wb-20-11054,375,4,626
201,clueweb12-0902wb-72-11855,1065,8,28
201,clueweb12-1203wb-51-26700,604,5,14
201,clueweb12-0910wb-29-12247,1694,8,6
201,clueweb12-1200tw-27-17833,376,10,88
201,clueweb12-1910wb-84-16059,181,6,160
201,clueweb12-0108wb-37-07006,604,5,908
201,clueweb12-0500tw-11-00340,426,8,797
201,clueweb12-0600tw-27-03059,335,4,47
201,clueweb12-0906wb-09-33744,1409,7,19
201,clueweb12-0606wb-18-17991,1021,4,80
201,clueweb12-1811wb-98-08858,1124,2,4
201,clueweb12-1811wb-56-16219,467,6,30
201,clueweb12-0401tw-01-03242,1360,5,285
201,clueweb12-0906wb-67-25261,2285,8,10
201,clueweb12-0908wb-88-00684,1002,8,5
201,clueweb12-0713wb-63-21836,984,2,12041
201,clueweb12-1600tw-40-06466,403,13,10
201,clueweb12-0906wb-86-33232,593,10,19
201,clueweb12-0714wb-00-13547,608,4,843
201,clueweb12-0800tw-43-07338,320,11,0
201,clueweb12-0301tw-21-03835,835,14,45
201,clueweb12-0200tw-44-09077,1392,8,26
201,clueweb12-0800tw-24-10527,410,6,20
201,clueweb12-0400tw-96-01734,310,5,10
201,clueweb12-0307wb-47-02869,611,3,27
202,clueweb12-1900tw-53-20555,1898,9,153
202,clueweb12-0601wb-18-11856,186,8,16
202,clueweb12-1116wb-12-30914,459,4,1
202,clueweb12-1811wb-97-04637,4147,2,322
202,clueweb12-1217wb-38-28443,455,4,6
202,clueweb12-1118wb-60-01284,1179,4,48
202,clueweb12-0510wb-95-32597,1882,11,64
202,clueweb12-1707wb-98-07904,243,5,14
202,clueweb12-0818wb-09-01540,1401,4,9
202,clueweb12-1215wb-33-08369,730,12,0
202,clueweb12-0814wb-20-13703,773,10,33
202,clueweb12-1216wb-41-05666,1017,3,0
202,clueweb12-0500tw-06-07919,573,6,98
202,clueweb12-1809wb-61-03622,1446,7,5
202,clueweb12-1806wb-88-04355,1214,14,5
202,clueweb12-1212wb-02-13082,164,9,18
202,clueweb12-0905wb-62-10264,3983,3,20
202,clueweb12-0303wb-04-08428,221,10,1228
