QueryId,DocumentId,query_length
201,clueweb12-1700tw-22-12689,2
201,clueweb12-0915wb-34-01721,2
201,clueweb12-0713wb-35-13648,2
201,clueweb12-0900wb-98-24673,2
201,clueweb12-0909wb-96-26247,2
201,clueweb12-0401tw-04-20151,2
201,clueweb12-1102wb-91-12621,2
201,clueweb12-0400tw-34-18992,2
201,clueweb12-0901tw-08-02360,2
201,clueweb12-1500tw-87-15657,2
201,clueweb12-0401tw-16-02547,2
201,clueweb12-0900wb-35-34759,2
201,clueweb12-1200tw-80-10421,2
201,clueweb12-0915wb-07-09887,2
201,clueweb12-1804wb-47-11412,2
201,clueweb12-0713wb-53-13641,2
201,clueweb12-1602wb-44-05440,2
201,clueweb12-0401tw-00-11091,2
201,clueweb12-0800tw-17-25760,2
201,clueweb12-0800tw-24-12533,2
201,clueweb12-0800tw-05-18710,2
201,clueweb12-1007wb-48-27054,2
201,clueweb12-1205wb-61-24105,2
201,clueweb12-1200tw-74-09560,2
201,clueweb12-0900tw-69-06553,2
201,clueweb12-0906wb-96-33932,2
201,clueweb12-0401tw-11-13679,2
201,clueweb12-1310wb-04-16486,2
201,clueweb12-0400tw-98-19394,2
201,clueweb12-1712wb-94-32026,2
201,clueweb12-0810wb-64-06846,2
201,clueweb12-1103wb-53-15541,2
201,clueweb12-1103wb-89-23937,2
201,clueweb12-0800tw-37-07485,2
201,clueweb12-0904wb-71-24469,2
201,clueweb12-1700tw-03-09403,2
201,clueweb12-0400tw-96-22358,2
201,clueweb12-0401tw-03-21671,2
201,clueweb12-1200tw-74-13246,2
201,clueweb12-0500tw-22-06416,2
201,clueweb12-0604wb-40-13236,2
201,clueweb12-0700tw-54-14874,2
201,clueweb12-0816wb-83-13972,2
201,clueweb12-0700tw-24-01437,2
201,clueweb12-1806wb-39-29403,2
201,clueweb12-0916wb-00-04079,2
201,clueweb12-0600tw-42-14363,2
201,clueweb12-1211wb-15-11029,2
201,clueweb12-0717wb-19-00907,2
201,clueweb12-0908wb-21-22923,2
201,clueweb12-1103wb-34-18912,2
201,clueweb12-0713wb-62-15328,2
201,clueweb12-0807wb-93-08686,2
201,clueweb12-1500tw-29-15704,2
201,clueweb12-1712wb-90-15515,2
201,clueweb12-1700tw-09-00623,2
201,clueweb12-1305wb-59-01481,2
201,clueweb12-1410wb-38-06953,2
