schedule,n_threads,n_systems,n_steps,time
guided-1,1,64,100,1769726
guided-1,1,128,100,3074786
guided-1,1,256,100,6421516
guided-1,1,512,100,11985917
guided-1,1,1024,100,24141859
guided-1,1,64,500,8747846
guided-1,1,128,500,15412564
guided-1,1,256,500,32061238
guided-1,1,512,500,59826276
guided-1,1,1024,500,120926047
guided-1,1,64,1000,17616523
guided-1,1,128,1000,30714239
guided-1,1,256,1000,63957789
guided-1,1,512,1000,119647233
guided-1,1,1024,1000,241748470
guided-1,1,64,100,1746420
guided-1,1,128,100,3062175
guided-1,1,256,100,6335429
guided-1,1,512,100,11970635
guided-1,1,1024,100,24207436
guided-1,1,64,500,8831799
guided-1,1,128,500,15334297
guided-1,1,256,500,32086427
guided-1,1,512,500,59803124
guided-1,1,1024,500,120833765
guided-1,1,64,1000,17583233
guided-1,1,128,1000,30676781
guided-1,1,256,1000,63914966
guided-1,1,512,1000,119617542
guided-1,1,1024,1000,241507150
guided-1,1,64,100,1759548
guided-1,1,128,100,3040477
guided-1,1,256,100,6354649
guided-1,1,512,100,11943755
guided-1,1,1024,100,24162817
guided-1,1,64,500,8716581
guided-1,1,128,500,15316091
guided-1,1,256,500,31925484
guided-1,1,512,500,59739108
guided-1,1,1024,500,120798669
guided-1,1,64,1000,17580138
guided-1,1,128,1000,30701816
guided-1,1,256,1000,63911162
guided-1,1,512,1000,119519979
guided-1,1,1024,1000,241785080
guided-1,1,64,100,1758692
guided-1,1,128,100,3063658
guided-1,1,256,100,6396911
guided-1,1,512,100,11881192
guided-1,1,1024,100,24170359
guided-1,1,64,500,8782862
guided-1,1,128,500,15347742
guided-1,1,256,500,31881127
guided-1,1,512,500,59757885
guided-1,1,1024,500,120787218
guided-1,1,64,1000,17434565
guided-1,1,128,1000,30372704
guided-1,1,256,1000,63390292
guided-1,1,512,1000,119451423
guided-1,1,1024,1000,241421581
guided-1,1,64,100,1764472
guided-1,1,128,100,3063848
guided-1,1,256,100,6378515
guided-1,1,512,100,11949641
guided-1,1,1024,100,24160707
guided-1,1,64,500,8815016
guided-1,1,128,500,15306977
guided-1,1,256,500,31927512
guided-1,1,512,500,59228326
guided-1,1,1024,500,120729046
guided-1,1,64,1000,17579011
guided-1,1,128,1000,30646546
guided-1,1,256,1000,63806001
guided-1,1,512,1000,119494352
guided-1,1,1024,1000,241433198
guided-1,1,64,100,1746873
guided-1,1,128,100,3034616
guided-1,1,256,100,6384041
guided-1,1,512,100,11946302
guided-1,1,1024,100,24163979
guided-1,1,64,500,8713174
guided-1,1,128,500,15183921
guided-1,1,256,500,31633838
guided-1,1,512,500,59240039
guided-1,1,1024,500,120777444
guided-1,1,64,1000,17590683
guided-1,1,128,1000,30396425
guided-1,1,256,1000,63632146
guided-1,1,512,1000,119518270
guided-1,1,1024,1000,241455182
guided-1,1,64,100,1742423
guided-1,1,128,100,3068003
guided-1,1,256,100,6392677
guided-1,1,512,100,12006994
guided-1,1,1024,100,24159582
guided-1,1,64,500,8712263
guided-1,1,128,500,15331700
guided-1,1,256,500,31909049
guided-1,1,512,500,59739148
guided-1,1,1024,500,120720658
guided-1,1,64,1000,17604066
