n_threads,matrix_size,n_steps,time
1,128,100,942
1,256,100,4225
1,512,100,17945
1,1024,100,71688
1,2048,100,299272
1,4096,100,1197373
1,8192,100,4821310
1,128,500,9152
1,256,500,32035
1,512,500,87909
1,1024,500,354142
1,2048,500,1494795
1,4096,500,6002477
1,8192,500,24443576
1,128,1000,20520
1,256,1000,53873
1,512,1000,175810
1,1024,1000,715494
1,2048,1000,2992003
1,4096,1000,12064009
1,8192,1000,48893532
1,128,5000,60017
1,256,5000,227210
1,512,5000,870458
1,1024,5000,3574179
1,2048,5000,14945825
1,4096,5000,60223860
1,8192,5000,243822480
1,128,10000,120861
1,256,10000,432047
1,512,10000,1747719
1,1024,10000,7161805
1,2048,10000,29881158
1,4096,10000,120780791
1,8192,10000,486242153
1,128,50000,494667
1,256,50000,2078738
1,512,50000,8700699
1,1024,50000,35718630
1,2048,50000,149044944
1,128,100,1922
1,256,100,8156
1,512,100,17499
1,1024,100,71593
1,2048,100,296075
1,4096,100,1199701
1,8192,100,4831992
1,128,500,9372
1,256,500,37067
1,512,500,87394
1,1024,500,357637
1,2048,500,1494494
1,4096,500,6058886
1,8192,500,24341487
1,128,1000,19426
1,256,1000,57507
1,512,1000,174006
1,1024,1000,712429
1,2048,1000,2996040
1,4096,1000,12037604
1,8192,1000,48616511
1,128,5000,69484
1,256,5000,225148
1,512,5000,870413
1,1024,5000,3567521
1,2048,5000,14942438
1,4096,5000,60228531
1,8192,5000,241583182
1,128,10000,117962
1,256,10000,432012
1,512,10000,1726620
1,1024,10000,7142073
1,2048,10000,29890977
1,4096,10000,120378380
1,8192,10000,484636948
1,128,50000,489507
1,256,50000,2086182
1,512,50000,8707475
1,1024,50000,35606472
1,2048,50000,149433295
1,128,100,1964
1,256,100,6432
1,512,100,17429
1,1024,100,71398
1,2048,100,298131
1,4096,100,1204980
1,8192,100,4843713
1,128,500,4644
1,256,500,37340
1,512,500,87332
1,1024,500,353649
1,2048,500,1486274
1,4096,500,5986819
1,8192,500,24255438
1,128,1000,19448
1,256,1000,58541
1,512,1000,173973
1,1024,1000,713202
1,2048,1000,2977125
1,4096,1000,12076636
1,8192,1000,48612862
1,128,5000,68622
1,256,5000,223738
1,512,5000,869817
1,1024,5000,3567985
1,2048,5000,14955227
1,4096,5000,60075978
1,8192,5000,242843969
1,128,10000,115951
1,256,10000,432629
1,512,10000,1740284
1,1024,10000,7076487
1,2048,10000,29876083
1,4096,10000,120647660
1,8192,10000,485408128
1,128,50000,488209
1,256,50000,2080506
1,512,50000,8711030
1,1024,50000,35485499
1,2048,50000,149047638
1,128,100,932
1,256,100,8289
1,512,100,17489
1,1024,100,71823
1,2048,100,298109
1,4096,100,1205838
1,8192,100,4873995
1,128,500,9157
1,256,500,37840
1,512,500,97777
1,1024,500,358546
1,2048,500,1491072
1,4096,500,6038242
1,8192,500,24223342
1,128,1000,12323
1,256,1000,57568
1,512,1000,174460
1,1024,1000,712358
1,2048,1000,2980366
1,4096,1000,12022206
1,8192,1000,48109708
1,128,5000,69955
1,256,5000,221237
1,512,5000,870432
1,1024,5000,3576843
1,2048,5000,14948522
1,4096,5000,60358873
1,8192,5000,242019760
1,128,10000,115618
1,256,10000,425484
1,512,10000,1741913
1,1024,10000,7122628
1,2048,10000,29901729
1,4096,10000,120359123
1,8192,10000,484298003
1,128,50000,489972
1,256,50000,2094107
1,512,50000,8714243
1,1024,50000,35653657
1,2048,50000,149288472
